company_name,ticker,sector,founding_year,number_of_employees,ceo_tenure_years,ceo_count_since_2010,average_glassdoor_rating,institutional_ownership_pct,board_member_count,job_positions_open
MLM Inc.,MLMI,Beverages,2005,1000,3.0,1,4.2,42.5,8,25
Masdar, MAS ,Renewables & Cleantech,2006,2500,13.0,3,3.5,25.0,4,100
Maine Acceptance,MA,Financial Services,1976,4000,3.0,2,4.5,75.0,20,200
Mattel Inc.,MTCH,Consumer Goods,1945,550000,4.0,10,3.5,35.0,11,500
,MKC,,0,0,0.0,0,0.0,0.0,0,0
McDonald's Corporation,MCD,Consumer Goods & Retailing,1940,1,22.5,15,4.5,85.0,6,2
McKesson Corporation,MCK,Healthcare & Pharmaceuticals,19,70000,22.0,11,81.0,90.0,13,100
,,,0,0,0.0,0,0.0,0.0,0,0
"Merck & Co., Inc.",MRK,Healthcare,1891,88,0.0,4,-3.5,15.0,13,27
"Meta Platforms, Inc. - Common Stock",META,"Technology (Hardware, Software & Services)",2004,180000,9.0,1,78.0,90.0,10,10
Metro AG,MEGA.PA,Food Retail Consumer Goods and Services,1920,44000,2.3,4,7.8,45.5,12,200
Magna International Inc.,MTD,Autonomous Vehicles & Autonomous Driving Systems,1954,600000,10.0,5,3.2,20.0,15,200
MGM Resorts International,MGM,Consumer Discretionary,1986,27000,21.0,3,72.0,48.0,13,40
Medtronic plc,MCHP,Healthcare Equipment & Services,1949,73000,12.0,3,4.1,65.15,20,150
Murphy USA,MU,"Convenience Stores (e.g. 7-Eleven, Wawa)",1944,15000,11.0,2,3.7,45.0,14,100
Microsoft Corporation,MSFT,Technology,1975,22020000,6.0,4,96.0,80.3,16,350000
"M&M's Mars, Incorporated",MAA,,0,15000,5.0,3,4.2,86.0,16,100
Moderna Inc.,MRNA,Healthcare,2010,1503,2.5,1,4.5,88.23,11,5
Magna International Inc.,MHK,Automotive Manufacturing & Supplies,1954,52000,12.0,10,7.5,85.0,8,150
Mohawk Industries,MOH,Textiles,1921,27000,4.0,7,4.4,35.42,9,15
"Tesla, Inc.",TSLA,Technology,2003,100000,15.89,2,4.6,78.9,14,10
"Mondelez International, Inc.",MDLZ,Consumer Staples,1997,85000,2.0,1,3.4,30.0,14,100
"Maxwell Technologies, Inc.",M PWR,Semiconductors,1974,500,22.0,3,72.0,95.0,12,15
Mondelez International,MNST,Consumer Staples,1912,94000,5.5,2,3.4,58.0,7,20
Melco Resorts & Entertainment Limited,MCO,Housing and Real Estate,1982,5000,15.0,3,7.5,85.0,10,200
Monsanto,MON,Agricultural,1901,11500,8.0,4,3.2,74.6,11,500
,,,0,0,0.0,0,0.0,10.5,3,500
Micro-Star International,2310.TW,Technology,1986,250000,7.0,3,4.2,90.0,12,100
MSCI Inc.,MSCI,Investment Services,1988,2100,3.5,1,4.2,20.0,9,25
,NASDAQ: NDAQ,Technology Sector,1971,60000,5.0,3,60.8,65.0,13,10000
"NetApp, Inc.",NTAP,Technology Hardware & Electronics,1992,12000,14.0,3,4.5,30.0,15,200
Netflix Inc.,NFLX,Media Streaming Services,1997,1140000,13.0,5,4.2,40.1,16,50
...,NEM,... ,2000,100000,10.0,4,0.5,15.0,6,200
,NWSA,,0,0,0.0,0,0.0,0.0,0,0
Newmont Corporation,NWSA,"Mining, Oil & Gas",1896,11500,4.2,9,4.8,50.0,14,150
[FULL COMPANY NAME],[TICKER SYMBOL],[SECTOR/INDUSTRY],100,-1,0.0,0,7.5,60.0,10,-1
"NIKE, Inc.",NKE,Retailing & Apparel Industry,1964,85000,32.75,25,7.5,30.0,11,500000
National Instruments Corp,NI,Industrials,1976,8500,14.0,3,4.1,40.0,9,500
"NetDynamics, Inc.",NDSN,Software,1999,500,15.2,2,4.6,75.2,12,20
,...,,0,0,0.0,0,0.0,0.0,0,0
National Nuclear Security Administration,NTRS,"Energy - Renewable Energy, Utilities & Mining",1992,3000,2021.0,5,4.8,95.2,25,350
NOVARTIS PHARMACEUTICALS CORPORATION,NOC,Healthcare & Pharmaceuticals,1896,100000,11.0,7,78.0,80.0,4,2000
Norfolk Southern Corporation,NSC,Transportation,1869,25100,6.0,4,2.9,85.5,12,20000
"NRG Energy, Inc.",NRG,Energy - Utilities,1992,11200,6.0,1,3.0,99.0,14,12000
"Nuance Communications, Inc.",NUE,Technology,1994,50000,5.0,6,2.9,68.0,11,20
NVIDIA Corporation,NVDA,Technology,1993,14700,11.5,6,4.2,70.0,13,10
"Hikvision Digital Technology Co., Ltd.",NVR,Aerospace & Defense,2019,5000,2.0,3,4.8,90.0,12,20
NVIDIA Corporation (NASDAQ),NASDAQ:NVDA,Technology - Semiconductors and Computer Manufacturing Industry,1993,17000,6.0,2,4.8,78.0,11,100
Oracle Corporation,ORCL,Information Technology (IT),1977,1330000,20.0,6,3.7,50.0,11,-3000
Oculus,OXY,Technology,2009,1000000,10.0,5,4.2,50.0,7,500000
"OceanDrop, Inc.",ODFL,Healthcare,2020,125,2.5,4,3.8,25.0,11,42
Omnicom Group Inc.,OMC,Advertising & Marketing Services,1934,113500,8.0,1,3.5,98.0,13,400
,,,0,0,0.0,0,0.0,0.0,0,0
Covington Capital Holdings,CRK,Technology,1998,235000,2.75,5,3.9,62.4,8,125
"""Oracle Corporation""",~OC~,Technology,1977,131110,16.5,2,4.15,65.9,12,234
OTIS Worldwide Corporation,OTIS,Advertising and Marketing,1983,2,1.0,6,3.4,70.0,12,20
.P.C.A.R.,PCAR,.P.C.A.R. Transportation and Logistics,1969,13000,5.0,3,71.0,45.2,8,100
PKG,PKG,Technology,2008,15000,5.0,2,4.2,45.0,9,100
Platinum Energy,PLTR,Technology,2020,10,2.0,5,3.8,85.0,15,5
Panasonic Corporation,PANW,Information Technology,1918,24000,9.5,3,7.4,67.82,13,100
ParaTech Inc.,PTEN,Technology Consulting Services,2009,75,5.0,1,3.4,20.0,7,10
"Penske Health Solutions, Inc.",PH,Healthcare Services,1988,30000,12.0,1,3.7,85.0,10,100
Check Free Inc.,PAYX,IT Services,1986,70000,25.0,8,4.2,50.0,9,500
"Paycom Payroll, Inc.",PAYC,Technology & Information Services,1998,450000,9.5,4,3.7,67.21,14,100
PayPal,PYPL,e-commerce/financial services,1998,103000,2012.0,4,3.7,65.0,12,50
"Panasonic Corporation (Matsushita Electric Industrial Co., Ltd.)",PNR,"Automotive Manufacturing, Consumer Electronics (Panasonic)",1918,5000000,8.96,3,4.2,35.1,13,15000000
Philips Electronics NV,PEP,Technology Hardware & Equipment,1891,1000000,15.0,4,3.4,50.0,13,100
Pfizer Inc.,PFE,Healthcare,1849,103000,29.0,11,82.73,40.33,16,500
[Company Name],PCG,Technology,1966,24000,4.0,5,3.2,67.5,8,200
Procter & Gamble Company,PG,Consumer Staples,1816,127000,14.0,8,72.0,30.5,11,50
"Philippine Long Lines Company, Inc.",PSX,Transportation & Logistics,1906,70000,16.0,5,3.2,25.0,15,100
Patagonia,P.N.W.,Clothing Retail Industry,1972,1922,13.45,7,4.8,99.5,10,12
First Pennsylvania Trust Company (PNC),PNC,Financial Services - Diversified Banks,1863,54000,12.0,1,83.0,95.0,15,1250
Pool Corporation,POOL,Building Materials,1949,4000,8.25,3,4.6,30.0,12,500
PPG Industries Inc.,.PPG,Industrials,1886,22000,10.0,3,4.0,60.0,5,200
Pennsylvania Railroad Company,PPL,Utilities,1830,13500,3.5,1,4.2,90.0,13,100
Pfizer Inc.,PFE,Healthcare,1849,95,16.5,3,73.0,60.0,13,120
Pfizer Inc.,PG,Pharmaceuticals & Biotech,1906,96,32.3,4,88.0,87.0,12,5
Pioneer Global Resources Inc.,PGR,Mining,2001,2500,4.6,12,2.8,24.0,11,100
Parker Industries LLC,PLD,Aerospace & Defense,2007,6000,5.3,2,89.0,75.0,9,200
"Prudential Financial, Inc.",Pru (PRU),Financial Services,1848,55000,4.0,2,3.9,95.7,18,100
,,,0,0,0.0,0,0.0,0.0,0,0
"Pt Associates, Llc",PTC,Information Technology (IT) Services and Digital Manufacturing Technologies,2000,50000,3.0,2,64.0,70.1,11,150000
,,,0,0,0.0,0,0.0,0.0,0,0
Pharmaceutical Products Inc.,PHM,Healthcare,1982,1500,5.0,3,4.6,70.0,12,10
,PWR,,0,0,0.0,0,0.0,0.0,0,0
"Qualcomm, Inc.",QCOM,Technology,1993,5000,8.5,4,80.0,75.0,16,30
NVIDIA Corporation,DGX,Technology,1993,15200,20.4,5,95.0,98.0,14,0
Reliance Industries Limited,RELIANCE.NS,Energy & Resources,1966,0,200.5,4,-2.0,40.0,2,500
Radio-John-Fillette,RJF,Consumer Finance,2020,5000,5.2,-1,-5.0,-10.0,15,200
RTX Corp,NASDAQ: RTX,Consumer Electronics,1973,2500,5.0,4,78.0,45.0,19,500
,,,0,0,0.0,0,0.0,0.0,0,0
"Regal Entertainment Group, Inc.",RGLD,Theaters (Live Theater),2000,50000,7.0,2,5.3,96.8,14,25
Regeneron Pharmaceuticals,REGN,Healthcare/Biotechnology,2008,5500,7.5,2,4.12,35.82,9,75
"Research Frontiers, Inc. (RFR)",RFR,Technology,1993,25,4.0,1,2.5,45.0,3,5
,RSG,,0,0,0.0,0,-1.5,-100.0,0,-1
Real Money Direct LLC,RMD,Digital Media,2013,100,4.0,2,4.5,65.0,7,10
"RV Ty Systems, Inc.",RVTY,Technology,2015,50,3.0,2,-1.0,45.0,5,10
ROK,ROK,Financial Services,1997,25,2.5,1,4.8,30.0,5,15
Roche Holding AG,ROG.AX,Healthcare,1886,463000,8.25,2,72.5,38.4,14,235
Rop,ROP,Consumer Discretionary,1995,1000000,3.2,4,7.0,85.0,3,50000
Restaurant Brands International Inc,Rostamani Holding PJSC,Consumer Services,1956,2200000,10.0,2,3.5,70.0,16,50000
Dick's Sporting Goods Inc.,RCL,Consumer Discretionary,1948,90000,12.0,4,3.6,52.5,15,100
Spdr S&p 500 Etf Tr,SPGI,Equity ETFs,1995,0,0.0,0,4.57,45.6,7,-1
Microsoft Corporation,MSFT,Information Technology,1915,190000,30.0,1,4.2,60.0,17,10
SBA Communications,SBAC,Real Estate Sector - Telecommunications Infrastructure,1998,15000,6.2,5,83.0,91.0,13,123
Schlumberger Limited,SLB,Industrial – Oil & Gas,1924,100000,10.0,2,72.0,80.0,5,500
Standex International Corporation,ST,Industrial Products,1924,2000,7.5,2,3.6,30.0,12,50
Special Response Team Enterprises Inc,SRE,Oil & Gas Transportation,1913,45000,5.0,3,7.8,23.4,15,250
,,,0,0,0.0,0,0.0,0.0,0,0
Schwab Investment Corp.,SCH:US,Financial Services,1971,50000,15.0,2,85.0,95.0,12,800
Spoke Networks,SPG,Transportation,2004,4000000,3.0,1,80.0,25.5,7,5
Sky-Watcher Ltd,SWKS,Consumer Electronics,1987,80000,2.3,5,2.4,25.0,11,100000
,SJM,,1826,0,25.2,9,4.1,15.0,7,100
Southwestern Energy Company,SWN,Oil & Gas - Refining & Marketing,1945,8000,2018.0,3,2.9,44.0,13,200
Snap Inc.,SNA,Technology/Consumer Discretionary,2011,20000000,5.1,3,-4.8,-2.5,4,10
SOL,SNP,Energy,1908,5000,2.5,3,3.7,55.0,12,200
,,,0,0,0.0,0,0.0,0.0,0,0
Southwest Airlines Co.,LUV,Transportation - Airlines,1971,55000,2018.0,2,4.3,55.9,12,500
"Skechers Global Manufacturing, Inc.",SKX,Consumer Cyclical,2001,3000,2.0,3,-6.5,45.1,12,500
,SBUX,,0,0,0.0,0,25.0,0.0,0,0
Statoil ASA (now Equinor),EQNR,Energy,1901,40000,4.0,2,3.6,50.0,11,10000
"Steel Dynamics, Inc.",STLD,Metal & Mining Industry,1987,3900,5.2,8,4.9,82.0,11,30
Energy Transfer LP,STE,Energy - MLPs (Master Limited Partnerships),1995,0,0.0,0,2.1,100.0,0,-5000
"Sykes Enterprises, Incorporated",SYK,Information Technology - Business Services and Outsourcing,1974,50000,2020.0,8,81.0,88.7,12,500
"Smith Micro Software, Inc.",SMCI,Technology,1981,1000,5.0,2,7.8,60.0,9,500
Starbucks Corporation,SYF,Consumer-Retail,1971,375000,5.67,4,3.64,44.2,11,45
Biogen Idec,SNPS,Healthcare Equipment,2006,1110000,8.0,4,-7.0,50.0,12,50000
SigmaTron International Inc.,SYY,Industrial Products,1991,12300,2.5,2,3.8,75.6,9,10
"T-Mobile US, Inc.",TMUS,Telecommunications Services,1994,40000,6.0,3,81.5,86.1,10,10000
"The T. Rowe Price Group, Inc.",TROW,Financial Services,1931,6000,11.0,4,3.9,65.5,12,100
Take-Two Interactive,TTWO,Gaming,1993,3200,2015.1,9,84.0,80.0,14,10
Texas Instruments Incorporated,TXN,Technology / Semiconductors and Integrated Circuits,1937,32000,2.6,4,3.5,20.6,13,150
Targa Resources Corporation,TRGP,Industrials: Integrated Energy & Utilities,2011,2,-6.0,7,9.0,50.0,3,1
Target Corporation,.TGT,Retail,1962,470000,2.8,1,3.4,50.0,18,0
,,,0,0,0.0,0,0.0,0.0,0,0
"Technological Diversification, Inc. ",TDY,Technology,1989,250000,5.0,4,7.0,90.0,8,50
"Tesla, Inc.",TSLA,Energy,2003,5000000,15.0,6,9.5,70.0,13,30000
"Tesla, Inc.",TSLA,Autos & Mobility,2003,1036000,8.7,4,4.2,60.0,9,300
Texas Instruments,TXN,Technology Hardware & Equipment,1958,30000,10.0,3,84.0,82.0,12,100
TechCorp Inc. (TICK),TICK,*Technology*,2010,50000,5.0,0,78.0,45.3,15,100
Apple Inc.,AAPL,Technology,1976,16300000,20.0,11,4.0,89.5,7,100
Thomson Reuters Inc.,TMO,Media - Publishing & Information Services,1998,12000,26.5,21,4.1,30.2,15,123
<full_company_name>,T.J. X PRESSURE,Consumer retail,1980,350000,6.9,3,2.5,70.1,12,5000
,,,0,0,0.0,0,0.0,0.0,0,0
"Supervalu, Inc.",TSCO,Retail Stores (Food Retailer),1957,100000,1.0,2,6.5,55.0,20,3000
,,,0,-1,-1.0,-1,-1.0,-1.0,0,-1
TD Garden LP,TDG,Real Estate,2012,1000,3.0,5,4.8,85.0,7,500
"Trane Residential Products, LLC",TRV,Energy,1916,4000,12.5,7,4.2,65.3,14,100
TradeBank Group,TRMB,Financial Services,1981,2000,2.0,3,4.5,30.0,10,50
Fortescue Metals Group Limited,TFC,Industrials,1995,80000,10.23,7,2.8,15.0,5,500
Meta Platforms Inc,META,Technology,2004,69900,23.0,3,45.67,60.0,12,120
Sportsman's Guide,TSCF.TX,Retail,1997,2500,2.5,1,86.0,60.0,8,200
United States Businessmen & Women,USBG,Technology & Media,1801,5000,5.3,2,4.2,12.5,10,50
Uber Technologies Inc.,UBER,Technology,2009,7000000,13.0,3,3.8,65.0,15,500000
Univest Corporation,UDR,Real Estate Convergence & Logistics Development,2014,1500,7.0,2,3.5,85.0,9,100
ULTRA,ULTA,Healthcare,2010,10567,5.0,3,4.2,32.9,20,120
Union Pacific Railroad,UNP,Transportation Services,1862,30000,4.0,3,84.0,65.32,11,500
"United Air Lines, Inc.",UAL,Transportation,1926,150000,4.0,7,4.2,92.0,13,15000
,,,0,0,0.0,0,0.0,0.0,0,0
Your Company,YPDR,Technology Sector,2006,5000,5.0,1,4.2,15.5,10,100
University of New Hampshire,UNH,Education,1866,4500,4.0,2,3.9,78.0,23,15
"Universal Health Services, Inc.",UHS,Healthcare Providers,1979,30000,2.0,3,75.0,60.5,11,200
,VLO,,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1
Venture Trucking,VTR,Transportation & Logistics: Freight Trucking & LTL Services,1993,4500,2.5,6,4.33,58.0,12,250
Valeant Pharmaceuticals International Inc.,VLTO,Healthcare,1851,9000,4.25,8,7.3,30.5,12,100
Verizon Communications Inc.,VRSN,Telecom Services,1984,107500,2.0,3,3.1,70.2,11,50
Vertex Ventures,VRSK,"Securities Brokerage Firm, Asset Management",2021,100500,2.5,3,4.45,85.6,150,500
Verizon Communications Inc.,VZ,Telecommunications,1984,142000,5.2,6,3.7,65.0,14,10000
Vertex Pharmaceuticals Incorporated,VRTX,Healthcare - Biotechnology,2000,41000,11.2,5,8.6,65.3,12,30
Veritone,VTRS,Information Technology,2005,101,2.15,1,7.8,44.3,6,5
VICIs,VICI,REIT - Residential Real Estate,1973,5000,2.0,6,2.5,92.0,11,20
Volkswagen AG,VWAN,Consumer Cyclical,1937,6360000,13.5,3,2.9,65.0,19,25000
,,,0,0,0.0,5,-1.0,50.0,10,0
,VMC,,2020,100,2.5,3,4.7,12.5,10,20
"Western Refining, Inc. (WRB)",WRB,Transportation Infrastructure & Equipment,1946,230000,12.0,3,74.0,20.5,10,250
"GrowthWerks, Inc.",GWW,Technology Services,2010,1202,5.0,1,4.23,95.0,9,50
Wayfair Inc.,WAB,Retailing,2011,12000,4.5,3,2.6,90.0,23,100
Weight Watchers Inc.,.WW,Consumer Services,1883,10000,4.0,1,4.2,65.5,10,25
Walmart Inc.,WMT,Retail,1962,2300000,-4.0,5,3.3,92.14,15,600
Disquite LLC,.DIS,Technology,2018,12300,5.0,3,2.9,85.0,12,50
Warner Bros. Discovery,WBD,Media Entertainment,1913,12000,4.0,2,1.8,45.0,15,50
Walt Disney,WM,Entertainment,1923,250000,1.0,6,4.5,55.2,14,1000000
Meta Platforms,META,Technology,2004,69900,3.5,2,3.0,88.0,17,0
,,,0,0,0.0,0,0.0,0.0,0,0
Wells Fargo & Company,WFC,Financial Services,1852,533000,7.1,3,76.0,94.2,34,456
,,,0,0,0.0,0,0.0,0.0,0,0
Western Digital Corporation,WD,Technology Hardware & Systems,1979,12000,2.0,3,4.2,95.0,11,80
Western Digital Corporation,WDC,Semiconductors and Storage Systems Components Manufacturing,1993,10700,13.0,2,4.1,45.56,8,42
"Wyoming Semi-Tools, Inc.",.WSMT,Consumer Discretionary > Semiconductors & Semiconductor Equipment,1991,3000,3.0,2,4.6,80.0,7,50
,WSM,,0,0,0.0,0,0.0,0.0,0,0
@actual name,WMB,Basic Industries,0,500,3.0,1,2.0,40.5,10,25
"Tesla, Inc.",TSLA,Consumer Electronics,2003,100000,12.33,7,4.2,75.0,11,20000
"WXIA Broadcasting, LLC",WXYA,Radio and Television Broadcasting,1996,1500,5.0,4,4.2,45.0,10,20
,WYNN,,0,0,0.0,0,0.0,0.0,0,0
EQT Corporation,XEL,Energy,1913,800000,2.8,8,65.0,58.5,12,25000
Xylyx,XYL,Healthcare (Bioscience),2014,1000,5.3,2,7.9,45.2,9,50
"Yum! Brands, Inc.",YUM,Consumer Discretionary,1997,90000,11.4,2,3.5,45.0,10,500
,ZBRA,,0,0,0.0,0,0.0,0.0,0,0
"Newell Brands, Inc.",ZBH,Manufacturing,1900,22000,7.0,3,68.0,30.0,12,50
"Zoetis, Inc.",ZTS,Healthcare,2000,10500,6.0,2,3.5,70.0,8,10
